ADC0 CH1 | V-load: 3.473V | *Voltage: 3.000mV | I-load: 100.006mA | P-load: 347.366mW|| CH2 || V-load: 0.551V | *Voltage: 0.617mV | I-load: 3.086mA | P-load: 1.701mW | Time: 4852ms
ADC0 CH1 | V-load: 3.476V | *Voltage: 3.071mV | I-load: 102.350mA | P-load: 355.776mW|| CH2 || V-load: 0.551V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.788mW | Time: 5685ms
ADC0 CH1 | V-load: 3.479V | *Voltage: 3.133mV | I-load: 104.434mA | P-load: 363.292mW|| CH2 || V-load: 0.551V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.787mW | Time: 6585ms
ADC0 CH1 | V-load: 3.481V | *Voltage: 3.086mV | I-load: 102.871mA | P-load: 358.069mW|| CH2 || V-load: 0.550V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.762mW | Time: 7417ms
ADC0 CH1 | V-load: 3.483V | *Voltage: 3.125mV | I-load: 104.173mA | P-load: 362.875mW|| CH2 || V-load: 0.551V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.787mW | Time: 8251ms
ADC0 CH1 | V-load: 3.486V | *Voltage: 3.125mV | I-load: 104.173mA | P-load: 363.109mW|| CH2 || V-load: 0.549V | *Voltage: 0.602mV | I-load: 3.008mA | P-load: 1.650mW | Time: 9150ms
ADC0 CH1 | V-load: 3.487V | *Voltage: 3.156mV | I-load: 105.215mA | P-load: 366.898mW|| CH2 || V-load: 0.550V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.763mW | Time: 9983ms
ADC0 CH1 | V-load: 3.490V | *Voltage: 3.149mV | I-load: 104.955mA | P-load: 366.265mW|| CH2 || V-load: 0.550V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.805mW | Time: 10817ms
ADC0 CH1 | V-load: 3.492V | *Voltage: 3.164mV | I-load: 105.476mA | P-load: 368.281mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.784mW | Time: 11715ms
ADC0 CH1 | V-load: 3.495V | *Voltage: 3.156mV | I-load: 105.215mA | P-load: 367.727mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.779mW | Time: 12545ms
ADC0 CH1 | V-load: 3.496V | *Voltage: 3.156mV | I-load: 105.215mA | P-load: 367.825mW|| CH2 || V-load: 0.546V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.772mW | Time: 13374ms
ADC0 CH1 | V-load: 3.498V | *Voltage: 3.149mV | I-load: 104.955mA | P-load: 367.131mW|| CH2 || V-load: 0.551V | *Voltage: 0.664mV | I-load: 3.321mA | P-load: 1.830mW | Time: 14266ms
ADC0 CH1 | V-load: 3.499V | *Voltage: 3.156mV | I-load: 105.215mA | P-load: 368.141mW|| CH2 || V-load: 0.550V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.762mW | Time: 15095ms
ADC0 CH1 | V-load: 3.502V | *Voltage: 3.133mV | I-load: 104.434mA | P-load: 365.721mW|| CH2 || V-load: 0.548V | *Voltage: 0.656mV | I-load: 3.281mA | P-load: 1.797mW | Time: 15925ms
ADC0 CH1 | V-load: 3.504V | *Voltage: 3.125mV | I-load: 104.173mA | P-load: 365.043mW|| CH2 || V-load: 0.549V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.781mW | Time: 16820ms
