ADC0 CH1 | V-load: 4.129V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -384.927mW|| CH2 || V-load: 0.548V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.467mW | Time: 12864ms
ADC0 CH1 | V-load: 4.125V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -384.630mW|| CH2 || V-load: 0.547V | *Voltage: 1.266mV | I-load: 6.329mA | P-load: 3.464mW | Time: 13739ms
ADC0 CH1 | V-load: 4.122V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -385.424mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.492mW | Time: 14675ms
ADC0 CH1 | V-load: 4.120V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -384.088mW|| CH2 || V-load: 0.546V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.479mW | Time: 15550ms
ADC0 CH1 | V-load: 4.117V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -382.806mW|| CH2 || V-load: 0.547V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.527mW | Time: 16424ms
ADC0 CH1 | V-load: 4.116V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -383.791mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.522mW | Time: 17362ms
ADC0 CH1 | V-load: 4.115V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -383.616mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.497mW | Time: 18236ms
ADC0 CH1 | V-load: 4.113V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -383.511mW|| CH2 || V-load: 0.549V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.515mW | Time: 19111ms
ADC0 CH1 | V-load: 4.112V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -384.495mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.512mW | Time: 20046ms
ADC0 CH1 | V-load: 4.109V | *Voltage: -2.789mV | I-load: -92.975mA | P-load: -382.074mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.502mW | Time: 20920ms
ADC0 CH1 | V-load: 4.109V | *Voltage: -2.805mV | I-load: -93.496mA | P-load: -384.214mW|| CH2 || V-load: 0.547V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.527mW | Time: 21797ms
ADC0 CH1 | V-load: 4.107V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -382.934mW|| CH2 || V-load: 0.548V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.490mW | Time: 22733ms
ADC0 CH1 | V-load: 4.106V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -382.812mW|| CH2 || V-load: 0.546V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.499mW | Time: 23607ms
ADC0 CH1 | V-load: 4.106V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -382.794mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.508mW | Time: 24543ms
ADC0 CH1 | V-load: 4.104V | *Voltage: -2.797mV | I-load: -93.235mA | P-load: -382.620mW|| CH2 || V-load: 0.549V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.537mW | Time: 25417ms
