ADC0 CH1 | V-load: 1.790V | *Voltage: 7.985mV | I-load: 15.970mA | P-load: 28.587mW|| CH2 || V-load: 4.593V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.550mW
ADC0 CH1 | V-load: 1.791V | *Voltage: 8.001mV | I-load: 16.001mA | P-load: 28.655mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.959mW
ADC0 CH1 | V-load: 1.791V | *Voltage: 7.993mV | I-load: 15.985mA | P-load: 28.630mW|| CH2 || V-load: 4.596V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.619mW
ADC0 CH1 | V-load: 1.791V | *Voltage: 7.977mV | I-load: 15.954mA | P-load: 28.568mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.963mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 8.040mV | I-load: 16.079mA | P-load: 28.771mW|| CH2 || V-load: 4.595V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.326mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.969mV | I-load: 15.939mA | P-load: 28.510mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.134mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.993mV | I-load: 15.985mA | P-load: 28.606mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.977mV | I-load: 15.954mA | P-load: 28.538mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 1.788V | *Voltage: 7.993mV | I-load: 15.985mA | P-load: 28.582mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.138mW
ADC0 CH1 | V-load: 1.790V | *Voltage: 8.001mV | I-load: 16.001mA | P-load: 28.643mW|| CH2 || V-load: 4.597V | *Voltage: 4.157mV | I-load: 20.783mA | P-load: 95.528mW
ADC0 CH1 | V-load: 1.788V | *Voltage: 7.961mV | I-load: 15.923mA | P-load: 28.470mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.959mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.985mV | I-load: 15.970mA | P-load: 28.572mW|| CH2 || V-load: 4.595V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.779mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 8.016mV | I-load: 16.032mA | P-load: 28.687mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.806mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.977mV | I-load: 15.954mA | P-load: 28.541mW|| CH2 || V-load: 4.595V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.326mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 8.024mV | I-load: 16.048mA | P-load: 28.718mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.982mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 7.993mV | I-load: 15.985mA | P-load: 28.600mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.997mW
ADC0 CH1 | V-load: 1.789V | *Voltage: 8.001mV | I-load: 16.001mA | P-load: 28.631mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 95.001mW
ADC0 CH1 | V-load: 1.816V | *Voltage: 8.001mV | I-load: 16.001mA | P-load: 29.060mW|| CH2 || V-load: 4.599V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 95.032mW
ADC0 CH1 | V-load: 1.892V | *Voltage: 8.454mV | I-load: 16.907mA | P-load: 31.983mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.978mW
ADC0 CH1 | V-load: 1.901V | *Voltage: 8.493mV | I-load: 16.985mA | P-load: 32.297mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.963mW
ADC0 CH1 | V-load: 1.959V | *Voltage: 8.696mV | I-load: 17.392mA | P-load: 34.064mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 2.232V | *Voltage: 9.805mV | I-load: 19.611mA | P-load: 43.767mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.970mW
ADC0 CH1 | V-load: 2.483V | *Voltage: 10.899mV | I-load: 21.798mA | P-load: 54.118mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.795mW
ADC0 CH1 | V-load: 2.779V | *Voltage: 12.391mV | I-load: 24.783mA | P-load: 68.870mW|| CH2 || V-load: 4.597V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.810mW
ADC0 CH1 | V-load: 3.111V | *Voltage: 13.845mV | I-load: 27.689mA | P-load: 86.141mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.181mW
ADC0 CH1 | V-load: 3.443V | *Voltage: 15.290mV | I-load: 30.580mA | P-load: 105.272mW|| CH2 || V-load: 4.598V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 95.017mW
ADC0 CH1 | V-load: 3.751V | *Voltage: 16.509mV | I-load: 33.018mA | P-load: 123.841mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 4.033V | *Voltage: 17.993mV | I-load: 35.987mA | P-load: 145.119mW|| CH2 || V-load: 4.596V | *Voltage: 4.110mV | I-load: 20.548mA | P-load: 94.436mW
ADC0 CH1 | V-load: 4.459V | *Voltage: 19.775mV | I-load: 39.549mA | P-load: 176.371mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.955mW
ADC0 CH1 | V-load: 4.768V | *Voltage: 21.111mV | I-load: 42.221mA | P-load: 201.333mW|| CH2 || V-load: 4.585V | *Voltage: 4.102mV | I-load: 20.509mA | P-load: 94.041mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.087mV | I-load: 44.175mA | P-load: 218.781mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.982mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.253mW|| CH2 || V-load: 4.597V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.814mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.103mV | I-load: 44.206mA | P-load: 218.927mW|| CH2 || V-load: 4.594V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.115mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.237mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.111mV | I-load: 44.222mA | P-load: 219.005mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.791mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.142mV | I-load: 44.284mA | P-load: 219.339mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.158mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.150mV | I-load: 44.300mA | P-load: 219.400mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.982mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.245mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.142mV | I-load: 44.284mA | P-load: 219.331mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.802mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.150mV | I-load: 44.300mA | P-load: 219.392mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.951mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.126mV | I-load: 44.253mA | P-load: 219.168mW|| CH2 || V-load: 4.597V | *Voltage: 4.055mV | I-load: 20.275mA | P-load: 93.205mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.546mW|| CH2 || V-load: 4.596V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.974mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.173mV | I-load: 44.347mA | P-load: 219.632mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.181mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.538mW|| CH2 || V-load: 4.595V | *Voltage: 4.039mV | I-load: 20.197mA | P-load: 92.805mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.538mW|| CH2 || V-load: 4.597V | *Voltage: 4.086mV | I-load: 20.431mA | P-load: 93.920mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 21.822mV | I-load: 43.643mA | P-load: 216.141mW|| CH2 || V-load: 4.596V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.619mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.134mV | I-load: 44.268mA | P-load: 219.237mW|| CH2 || V-load: 4.597V | *Voltage: 4.117mV | I-load: 20.587mA | P-load: 94.631mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.158mV | I-load: 44.315mA | P-load: 219.477mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.795mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.228mV | I-load: 44.456mA | P-load: 220.174mW|| CH2 || V-load: 4.595V | *Voltage: 4.102mV | I-load: 20.509mA | P-load: 94.245mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.165mV | I-load: 44.331mA | P-load: 219.546mW|| CH2 || V-load: 4.596V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.799mW
ADC0 CH1 | V-load: 4.953V | *Voltage: 22.205mV | I-load: 44.409mA | P-load: 219.942mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.134mW
ADC0 CH1 | V-load: 4.952V | *Voltage: 22.087mV | I-load: 44.175mA | P-load: 218.772mW|| CH2 || V-load: 4.596V | *Voltage: 4.149mV | I-load: 20.744mA | P-load: 95.341mW
ADC0 CH1 | V-load: 4.915V | *Voltage: 22.025mV | I-load: 44.050mA | P-load: 216.510mW|| CH2 || V-load: 4.595V | *Voltage: 4.125mV | I-load: 20.626mA | P-load: 94.771mW
